file,duration_s,distance_m,speed_min,speed_max,speed_mean
VM2_703310552,263.0,1458.722817175754,0.0,11.253086734268921,5.483270771560675
VM2_-1357295561,1909.0,13183.258817289214,0.0,19.94343311787103,4.175761680451012
VM2_-395604816,1341.0,7147.449379776153,0.001585578124949574,8.34370031180801,5.315788169093624
VM2_445457680,2356.0,8840.004948329097,0.0,7.029147987347479,3.746086018724355
VM2_206022619,405.0,1734.5997846748205,0.07595150415770964,5.835874636366025,4.243893129468671
VM2_-112762368,1004.0,6066.011747100974,0.0,27.749632689435533,6.015661738746307
VM2_1227204607,1088.708,4823.423673478148,0.0,12.588843712441275,4.402990025524809
VM2_-8193013,1416.0,7954.921246585045,0.0,11.967705892502742,5.579497605935511
VM2_-1702742717,2263.0,8954.614376930773,0.0,7.726641197450097,3.9503141357628673
VM2_-1288729317,605.0,2743.124884515658,0.10908958600725657,13.380904220400156,4.524271674937034
VM2_-1061103078,17966.0,15667.528355948269,0.0,37.57249499053447,0.7537767418055901
VM2_-1028252470,684.0,3102.997343398827,0.0,9.184159275087433,3.4765529080053033
VM2_-1353010954,324.0,1362.6670574121356,0.39018388252400743,6.967279402103945,4.173871189497087
VM2_-2138982475,3625.0,21380.591872541416,0.0,10.602268035850079,5.893768465280359
VM2_550234521,1244.0,5430.1838056197685,0.0,8.8386438405834,4.302288523828764
VM2_-408180438,1826.0,6367.445217767697,0.00045252190418566617,9.319219540554544,3.4844018581427822
VM2_344795041,1406.0,7325.912338023751,0.00445116972403934,8.244097863073021,5.196648967216113
VM2_613189335,1161.824,4883.403068552875,0.0,10.480707247623362,4.253244715886198
VM2_1225925164,405.0,1047.401712604208,0.012587874072234462,5.827676045120234,2.575641209393586
VM2_-811899870,541.0,1938.2209267945248,0.001738473762100481,6.486703209985747,3.5704443792675025
VM2_302809630,185.0,651.9584308577707,0.0,6.600813943195479,3.4550765832143386
VM2_-1681388252,1538.0,6101.455250916163,0.0,10.89418090426179,3.955338128495131
VM2_-1685518172,1250.0,4625.698036385922,0.0,8.033135709476488,3.5480382817924307
VM2_-1125874286,520.0,2283.5446123138913,0.0,8.665410738008385,4.2944280735273646
VM2_-812981669,2634.0,7585.734840839092,0.0,9.70481180740918,2.8808181831495876
VM2_-23643748,1502.0,5579.330398846303,0.0,7.992834297950794,3.710218051970097
VM2_-1895285580,345.0,1704.733253392841,0.09944718477301161,13.957884355699756,4.903365412596207
VM2_281322265,609.0,2703.670166805263,0.0,7.6869425612693325,4.4089984767238874
VM2_-1378107783,4157.0,17783.877532154293,0.0,15.32891282596337,4.245916422850352
VM2_-1066971025,1807.0,6373.744597899776,0.002683690537396182,7.7890243919765405,3.5293027502802796
VM2_1478273585,401.0,1674.2899474437231,0.0045962360685325235,14.867753252032857,4.149547369633734
VM2_-968866430,303.0,1621.2007411945447,0.004843351063403969,12.04425604293808,5.289600677159232
VM2_577803303,170.0,692.2913651328782,0.2926467299829372,13.238162089639092,3.994476273743614
VM2_-33883865,1393.0,7799.564502347461,0.00037092322109774043,16.39281794405529,5.568394138872273
VM2_-1196793038,263.0,1057.1055971034948,0.8412510741694916,7.885398343399854,3.9801276684550415
VM2_-579916516,287.0,1080.785814890021,0.010544738896415723,7.866303340149396,3.7365662150999985
VM2_-612910441,828.0,3863.730277429174,0.001631727402029744,14.611697605291283,4.647115924922552
VM2_322175112,1355.0,6528.226766001255,0.0004346286361859825,8.524480327329504,4.806475595837706
VM2_1483846081,1191.0,7308.5366141282375,0.026543474333336883,9.53598858708199,6.122756805364415
VM2_-1111427544,4008.0,19377.28042064319,0.0,9.64398490968212,4.833145912783953
VM2_-2052676567,1264.0,7356.955694259771,0.000370920354031748,8.963847950521911,5.812125859678873
VM2_-1965270820,418.0,519.1184981817656,0.0,8.418203178655432,1.231403110424515
VM2_-1577734051,2516.0,11115.772680688835,0.0,8.039887960231434,4.410097608891769
VM2_314063162,4411.0,11990.828155047242,0.0,9.153871920567374,2.711587616002823
VM2_1454951702,1092.0,4676.465412927173,0.008358806846661038,10.561150167448835,4.2950616099305154
VM2_-2135068954,1827.0,8924.494401019383,0.0,9.518910562067633,4.856147461995792
VM2_230373295,331.0,1101.0741429689035,0.0,15.073659902367666,3.3019291447535664
VM2_-845825287,1298.0,5694.6902098466635,0.0,7.451599993098996,4.374928387746438
