[SedonaDB] [aviation] query: flightClosestToPoint: 100.01300099975197ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 48.24435699993046ms, result count: 56
[SedonaDB] [aviation] query: countFlightsInCounties: 179.5884860039223ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 86.38636900286656ms, result count: 367
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 31.144886997935828ms, result count: 2567
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 131.83798800309887ms, result count: 219
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 128.35140200331807ms, result count: 351
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.12435899511911ms, result count: 1381
[SedonaDB] [aviation] query: countFlightsInCounties: 183.8582589989528ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 160.20779599784873ms, result count: 4
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 69.8437989995ms, result count: 140
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 59.16640999930678ms, result count: 38
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 136.50192699424224ms, result count: 281
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 138.4879529941827ms, result count: 387
[SedonaDB] [aviation] query: flightClosestToPoint: 98.48736100684619ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 126.8912689993158ms, result count: 199
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 131.6087930026697ms, result count: 57
[SedonaDB] [aviation] query: flightClosestToPoint: 94.93019599904073ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 156.73720500490163ms, result count: 9
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 119.31255999661516ms, result count: 7
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 26.667701997212134ms, result count: 328
[SedonaDB] [aviation] query: flightClosestToPoint: 99.74386500107357ms, result count: 0
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 14.163095998810604ms, result count: 327
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 80.86447400273755ms, result count: 156
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.348460999841336ms, result count: 1274
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 140.42611500190105ms, result count: 275
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 138.76136900216807ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 258.0458489974262ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 132.53772199823288ms, result count: 353
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 127.1214640000835ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 95.03030400082935ms, result count: 0
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 130.29906099836808ms, result count: 260
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 88.7666549970163ms, result count: 97
[SedonaDB] [aviation] query: countFlightsInCounties: 183.94465200253762ms, result count: 1
