[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 560.8132040069904ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 85.05603999947198ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 59.22320700483397ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.8549099853262305ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 113.13142100698315ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.959954993566498ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 6.802140997024253ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 132.2478840011172ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 5.028228013543412ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.351641982793808ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.276154999388382ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.235376982251182ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.266656993422657ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.2972699999809265ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.8103240076452494ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 128.12975500128232ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 126.30550301400945ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 59.04978499165736ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.885114988312125ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 54.419250023784116ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 8.037010004045442ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.4990320089273155ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.6349569961894304ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.3271289905533195ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.0568699983414263ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.293630994856358ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.233050996437669ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.7721410151571035ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 554.078440007288ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 129.52839300851338ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.705683005508035ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.4796970032621175ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.030127980513498ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 123.38087501120754ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.5228919985238463ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 548.762190999696ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.7282429984770715ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 119.47282901383005ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.7273039740975946ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 621.1062689835671ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.4633849863894284ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.209615028230473ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 46.1720029998105ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.827622004086152ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.348977992776781ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.380675990134478ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 120.85656999261118ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.7664469855371863ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 137.37444899743423ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 126.12462299875915ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.5824780168477446ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.251108002383262ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.425156988669187ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 39.968602010048926ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.70163100794889ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 142.29560998501256ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 50.12288599391468ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.14876001607627ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.873733007116243ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.7832140040118247ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 125.64090598607436ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 27.340632979758084ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.720319993793964ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 111.22714198427275ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 112.8818430006504ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 569.8975340055767ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 107.16723999939859ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.802804003702477ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 115.05113801104017ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.188141018152237ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.79122601589188ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.895311009837314ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.28192898700945ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.01471798843704ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.790615985868499ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 49.962691991822794ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.94459200813435ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.459865991724655ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 47.260619001463056ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 8.53044301038608ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.0490990029647946ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.8644190062768757ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.741041018860415ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 596.949538012268ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.2892540039028972ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.6389179877005517ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 2.030812989687547ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 652.7377900201827ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.2087150029838085ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 96.32014000089839ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 143.3607020007912ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 136.15613000001758ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 64.2205509939231ms, result count: 4
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 4.932176001602784ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 4.236528999172151ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 56.50989300920628ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 585.6152010092046ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.9142569983378053ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 33.4252160100732ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 636.0164299840108ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.496835008263588ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 612.3056869837455ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 542.7690480137244ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 539.878803974716ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.315346013754606ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 545.6701869843528ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 25.31339498818852ms, result count: 0
[SedonaDB] [ais] query: HarbourActivityInPeriod: 132.97733801300637ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.1221960089169443ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 545.120856986614ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.445977974683046ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 613.4937859897036ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 3.1573239830322564ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.13167498097755ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 1.970015000551939ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 616.7751100147143ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 29.56552300020121ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 573.0873759894166ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 51.130799984093755ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 4.6203370147850364ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.921882024267688ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 600.2974300063215ms, result count: 0
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.0800850072409958ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 94.77718698326498ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.2506579959299415ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 557.3316870140843ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsInPeriod: 3.157874016324058ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 39.17054701014422ms, result count: 0
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 52.54380599944852ms, result count: 4
[SedonaDB] [ais] query: HarbourActivityInPeriod: 130.39292700705118ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 3.989588003605604ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.2270659974310547ms, result count: 1
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 2.714531001402065ms, result count: 1
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 5.574850016273558ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 647.0845630101394ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 554.3210929899942ms, result count: 1
[SedonaDB] [ais] query: HarbourActivityInPeriod: 88.7806229875423ms, result count: 0
[SedonaDB] [ais] query: CrossingsActiveAtGivenHourOfDay: 5.429989018011838ms, result count: 1
[SedonaDB] [ais] query: crossingsConnectTwoGivenHarbours: 45.95763701945543ms, result count: 0
[SedonaDB] [ais] query: averageDurationCrossingStartAtHarbourInPeriod: 7.912917004432529ms, result count: 1
[SedonaDB] [ais] query: countActiveCrossingsNearIsland: 569.3362699821591ms, result count: 1
