[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 4.430291010066867ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 558.6268699262291ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 522.0415099756792ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 262.49562099110335ms, result count: 8
[SedonaDB] [cycling] query: countActiveRideInDistrict: 445.3481569653377ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 476.39884904492646ms, result count: 246
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 8.947856957092881ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 7.28102691937238ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 491.2678999826312ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 438.3790430147201ms, result count: 345
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 251.39189895708114ms, result count: 15
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 57.96636105515063ms, result count: 0
[SedonaDB] [cycling] query: countActiveRideInDistrict: 566.3617370883003ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 432.39718198310584ms, result count: 72
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.397903918288648ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 98.77317398786545ms, result count: 10
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 3.003357909619808ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.007390954531729ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.4012020332738757ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 4.8465849831700325ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 537.1832149103284ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 418.96710998844355ms, result count: 41
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 5.50394703168422ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 635.032749036327ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 336.8577699875459ms, result count: 27
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 100.27434199582785ms, result count: 12
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.814194002188742ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 2.0099469693377614ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 271.07171108946204ms, result count: 18
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 799.6857549296692ms, result count: 1152
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 288.10785501264036ms, result count: 13
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.764356999658048ms, result count: 1
